resource_id,location,date,available
C-1,Danang,2026-05-22,2
C-2,HCM,2026-05-23,5
C-3,HCM,2026-05-24,0
C-4,Hanoi,2026-05-25,5
C-5,Danang,2026-05-26,3
C-6,Hanoi,2026-05-27,3
C-7,Danang,2026-05-28,2
C-8,HCM,2026-05-29,5
C-9,Phu Quoc,2026-05-30,1
C-10,Danang,2026-05-31,5
C-11,Hanoi,2026-06-01,2
C-12,Hanoi,2026-06-02,2
C-13,Danang,2026-06-03,4
C-14,Hanoi,2026-06-04,5
C-15,HCM,2026-06-05,5
C-16,Danang,2026-06-06,3
C-17,Phu Quoc,2026-06-07,2
C-18,HCM,2026-06-08,1
C-19,HCM,2026-06-09,5
C-20,Phu Quoc,2026-06-10,4
C-21,HCM,2026-06-11,4
C-22,HCM,2026-06-12,1
C-23,Hanoi,2026-06-13,2
C-24,Danang,2026-06-14,3
C-25,Danang,2026-06-15,4
C-26,HCM,2026-06-16,0
C-27,HCM,2026-06-17,2
C-28,Danang,2026-06-18,4
C-29,Danang,2026-06-19,5
C-30,Danang,2026-06-20,5
C-31,Phu Quoc,2026-06-21,2
C-32,Hanoi,2026-06-22,3
C-33,Danang,2026-06-23,0
C-34,Danang,2026-06-24,5
C-35,Danang,2026-06-25,1
C-36,Phu Quoc,2026-06-26,3
C-37,Danang,2026-06-27,5
C-38,Hanoi,2026-06-28,5
C-39,Phu Quoc,2026-06-29,2
C-40,Phu Quoc,2026-06-30,0
C-41,Hanoi,2026-07-01,2
C-42,Danang,2026-07-02,0
C-43,HCM,2026-07-03,4
C-44,HCM,2026-07-04,1
C-45,Phu Quoc,2026-07-05,2
C-46,Phu Quoc,2026-07-06,1
C-47,HCM,2026-07-07,5
C-48,Phu Quoc,2026-07-08,4
C-49,Hanoi,2026-07-09,3
C-50,HCM,2026-07-10,1
C-51,Phu Quoc,2026-07-11,1
C-52,HCM,2026-07-12,3
C-53,Phu Quoc,2026-07-13,2
C-54,Danang,2026-07-14,4
C-55,Phu Quoc,2026-07-15,2
C-56,HCM,2026-07-16,1
C-57,Danang,2026-07-17,0
C-58,HCM,2026-07-18,1
C-59,Hanoi,2026-07-19,3
C-60,Phu Quoc,2026-07-20,5
C-61,Phu Quoc,2026-07-21,2
C-62,Phu Quoc,2026-07-22,1
C-63,Phu Quoc,2026-07-23,4
C-64,HCM,2026-07-24,3
C-65,Hanoi,2026-07-25,2
C-66,Phu Quoc,2026-07-26,5
C-67,Phu Quoc,2026-07-27,0
C-68,Danang,2026-07-28,0
C-69,Phu Quoc,2026-07-29,1
C-70,HCM,2026-07-30,2
C-71,Danang,2026-07-31,1
C-72,Phu Quoc,2026-08-01,3
C-73,HCM,2026-08-02,2
C-74,HCM,2026-08-03,4
C-75,HCM,2026-08-04,3
C-76,Hanoi,2026-08-05,1
C-77,Hanoi,2026-08-06,5
C-78,Phu Quoc,2026-08-07,5
C-79,Phu Quoc,2026-08-08,3
C-80,Danang,2026-08-09,4
C-81,HCM,2026-08-10,3
C-82,Danang,2026-08-11,3
C-83,Hanoi,2026-08-12,3
C-84,HCM,2026-08-13,0
C-85,Phu Quoc,2026-08-14,3
C-86,Hanoi,2026-08-15,1
C-87,Phu Quoc,2026-08-16,4
C-88,Phu Quoc,2026-08-17,4
C-89,Danang,2026-08-18,5
C-90,Phu Quoc,2026-08-19,3
C-91,Phu Quoc,2026-08-20,0
C-92,Phu Quoc,2026-08-21,3
C-93,Danang,2026-08-22,1
C-94,Danang,2026-08-23,5
C-95,Phu Quoc,2026-08-24,4
C-96,Danang,2026-08-25,2
C-97,Hanoi,2026-08-26,4
C-98,Hanoi,2026-08-27,5
C-99,Phu Quoc,2026-08-28,5
C-100,Hanoi,2026-08-29,5
