resource_id,location,date,available
F-1,Danang,2026-05-22,18
F-2,HCM,2026-05-23,13
F-3,HCM,2026-05-24,4
F-4,Hanoi,2026-05-25,14
F-5,Danang,2026-05-26,4
F-6,Hanoi,2026-05-27,10
F-7,Danang,2026-05-28,1
F-8,HCM,2026-05-29,18
F-9,Phu Quoc,2026-05-30,14
F-10,Danang,2026-05-31,3
F-11,Hanoi,2026-06-01,13
F-12,Hanoi,2026-06-02,8
F-13,Danang,2026-06-03,6
F-14,Hanoi,2026-06-04,3
F-15,HCM,2026-06-05,19
F-16,Danang,2026-06-06,18
F-17,Phu Quoc,2026-06-07,3
F-18,HCM,2026-06-08,9
F-19,HCM,2026-06-09,14
F-20,Phu Quoc,2026-06-10,15
F-21,HCM,2026-06-11,1
F-22,HCM,2026-06-12,20
F-23,Hanoi,2026-06-13,7
F-24,Danang,2026-06-14,13
F-25,Danang,2026-06-15,20
F-26,HCM,2026-06-16,15
F-27,HCM,2026-06-17,8
F-28,Danang,2026-06-18,5
F-29,Danang,2026-06-19,1
F-30,Danang,2026-06-20,8
F-31,Phu Quoc,2026-06-21,10
F-32,Hanoi,2026-06-22,20
F-33,Danang,2026-06-23,18
F-34,Danang,2026-06-24,4
F-35,Danang,2026-06-25,18
F-36,Phu Quoc,2026-06-26,1
F-37,Danang,2026-06-27,14
F-38,Hanoi,2026-06-28,4
F-39,Phu Quoc,2026-06-29,4
F-40,Phu Quoc,2026-06-30,19
F-41,Hanoi,2026-07-01,10
F-42,Danang,2026-07-02,20
F-43,HCM,2026-07-03,20
F-44,HCM,2026-07-04,1
F-45,Phu Quoc,2026-07-05,15
F-46,Phu Quoc,2026-07-06,7
F-47,HCM,2026-07-07,7
F-48,Phu Quoc,2026-07-08,10
F-49,Hanoi,2026-07-09,0
F-50,HCM,2026-07-10,7
F-51,Phu Quoc,2026-07-11,17
F-52,HCM,2026-07-12,18
F-53,Phu Quoc,2026-07-13,8
F-54,Danang,2026-07-14,1
F-55,Phu Quoc,2026-07-15,14
F-56,HCM,2026-07-16,2
F-57,Danang,2026-07-17,18
F-58,HCM,2026-07-18,0
F-59,Hanoi,2026-07-19,7
F-60,Phu Quoc,2026-07-20,18
F-61,Phu Quoc,2026-07-21,0
F-62,Phu Quoc,2026-07-22,4
F-63,Phu Quoc,2026-07-23,11
F-64,HCM,2026-07-24,2
F-65,Hanoi,2026-07-25,13
F-66,Phu Quoc,2026-07-26,3
F-67,Phu Quoc,2026-07-27,9
F-68,Danang,2026-07-28,4
F-69,Phu Quoc,2026-07-29,19
F-70,HCM,2026-07-30,12
F-71,Danang,2026-07-31,20
F-72,Phu Quoc,2026-08-01,19
F-73,HCM,2026-08-02,14
F-74,HCM,2026-08-03,19
F-75,HCM,2026-08-04,0
F-76,Hanoi,2026-08-05,12
F-77,Hanoi,2026-08-06,17
F-78,Phu Quoc,2026-08-07,8
F-79,Phu Quoc,2026-08-08,5
F-80,Danang,2026-08-09,3
F-81,HCM,2026-08-10,13
F-82,Danang,2026-08-11,2
F-83,Hanoi,2026-08-12,10
F-84,HCM,2026-08-13,6
F-85,Phu Quoc,2026-08-14,4
F-86,Hanoi,2026-08-15,11
F-87,Phu Quoc,2026-08-16,2
F-88,Phu Quoc,2026-08-17,12
F-89,Danang,2026-08-18,2
F-90,Phu Quoc,2026-08-19,5
F-91,Phu Quoc,2026-08-20,15
F-92,Phu Quoc,2026-08-21,20
F-93,Danang,2026-08-22,14
F-94,Danang,2026-08-23,2
F-95,Phu Quoc,2026-08-24,13
F-96,Danang,2026-08-25,6
F-97,Hanoi,2026-08-26,17
F-98,Hanoi,2026-08-27,19
F-99,Phu Quoc,2026-08-28,0
F-100,Hanoi,2026-08-29,4
