resource_id,location,date,available
H-1,Danang,2026-05-22,3
H-2,HCM,2026-05-23,7
H-3,HCM,2026-05-24,10
H-4,Hanoi,2026-05-25,1
H-5,Danang,2026-05-26,5
H-6,Hanoi,2026-05-27,10
H-7,Danang,2026-05-28,5
H-8,HCM,2026-05-29,7
H-9,Phu Quoc,2026-05-30,4
H-10,Danang,2026-05-31,2
H-11,Hanoi,2026-06-01,0
H-12,Hanoi,2026-06-02,7
H-13,Danang,2026-06-03,4
H-14,Hanoi,2026-06-04,0
H-15,HCM,2026-06-05,7
H-16,Danang,2026-06-06,1
H-17,Phu Quoc,2026-06-07,6
H-18,HCM,2026-06-08,7
H-19,HCM,2026-06-09,8
H-20,Phu Quoc,2026-06-10,8
H-21,HCM,2026-06-11,5
H-22,HCM,2026-06-12,4
H-23,Hanoi,2026-06-13,8
H-24,Danang,2026-06-14,1
H-25,Danang,2026-06-15,0
H-26,HCM,2026-06-16,1
H-27,HCM,2026-06-17,9
H-28,Danang,2026-06-18,4
H-29,Danang,2026-06-19,8
H-30,Danang,2026-06-20,5
H-31,Phu Quoc,2026-06-21,7
H-32,Hanoi,2026-06-22,4
H-33,Danang,2026-06-23,8
H-34,Danang,2026-06-24,2
H-35,Danang,2026-06-25,3
H-36,Phu Quoc,2026-06-26,1
H-37,Danang,2026-06-27,1
H-38,Hanoi,2026-06-28,7
H-39,Phu Quoc,2026-06-29,4
H-40,Phu Quoc,2026-06-30,4
H-41,Hanoi,2026-07-01,5
H-42,Danang,2026-07-02,10
H-43,HCM,2026-07-03,9
H-44,HCM,2026-07-04,7
H-45,Phu Quoc,2026-07-05,7
H-46,Phu Quoc,2026-07-06,0
H-47,HCM,2026-07-07,8
H-48,Phu Quoc,2026-07-08,0
H-49,Hanoi,2026-07-09,9
H-50,HCM,2026-07-10,7
H-51,Phu Quoc,2026-07-11,6
H-52,HCM,2026-07-12,10
H-53,Phu Quoc,2026-07-13,2
H-54,Danang,2026-07-14,9
H-55,Phu Quoc,2026-07-15,3
H-56,HCM,2026-07-16,3
H-57,Danang,2026-07-17,8
H-58,HCM,2026-07-18,2
H-59,Hanoi,2026-07-19,7
H-60,Phu Quoc,2026-07-20,1
H-61,Phu Quoc,2026-07-21,3
H-62,Phu Quoc,2026-07-22,3
H-63,Phu Quoc,2026-07-23,1
H-64,HCM,2026-07-24,7
H-65,Hanoi,2026-07-25,2
H-66,Phu Quoc,2026-07-26,1
H-67,Phu Quoc,2026-07-27,9
H-68,Danang,2026-07-28,0
H-69,Phu Quoc,2026-07-29,2
H-70,HCM,2026-07-30,9
H-71,Danang,2026-07-31,2
H-72,Phu Quoc,2026-08-01,8
H-73,HCM,2026-08-02,0
H-74,HCM,2026-08-03,3
H-75,HCM,2026-08-04,1
H-76,Hanoi,2026-08-05,7
H-77,Hanoi,2026-08-06,6
H-78,Phu Quoc,2026-08-07,0
H-79,Phu Quoc,2026-08-08,2
H-80,Danang,2026-08-09,9
H-81,HCM,2026-08-10,2
H-82,Danang,2026-08-11,4
H-83,Hanoi,2026-08-12,3
H-84,HCM,2026-08-13,10
H-85,Phu Quoc,2026-08-14,3
H-86,Hanoi,2026-08-15,10
H-87,Phu Quoc,2026-08-16,7
H-88,Phu Quoc,2026-08-17,10
H-89,Danang,2026-08-18,2
H-90,Phu Quoc,2026-08-19,3
H-91,Phu Quoc,2026-08-20,7
H-92,Phu Quoc,2026-08-21,0
H-93,Danang,2026-08-22,1
H-94,Danang,2026-08-23,9
H-95,Phu Quoc,2026-08-24,7
H-96,Danang,2026-08-25,0
H-97,Hanoi,2026-08-26,2
H-98,Hanoi,2026-08-27,1
H-99,Phu Quoc,2026-08-28,3
H-100,Hanoi,2026-08-29,7
